表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
　,記号,空白,*,*,*,*,　,　,　
名前,名詞,一般,*,*,*,*,名前,ナマエ,ナマエ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
「,記号,括弧開,*,*,*,*,「,「,「
罪,名詞,一般,*,*,*,*,罪,ツミ,ツミ
滅,名詞,一般,*,*,*,*,滅,メツ,メツ
星,名詞,接尾,一般,*,*,*,星,ボシ,ボシ
」,記号,括弧閉,*,*,*,*,」,」,」
っていう,助詞,格助詞,連語,*,*,*,っていう,ッテイウ,ッテユウ
ん,名詞,非自立,一般,*,*,*,ん,ン,ン
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
寂しい,形容詞,自立,*,*,形容詞・イ段,基本形,寂しい,サビシイ,サビシイ
人,名詞,一般,*,*,*,*,人,ヒト,ヒト
だけ,助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ
　,記号,空白,*,*,*,*,　,　,　
哀しい,形容詞,自立,*,*,形容詞・イ段,基本形,哀しい,カナシイ,カナシイ
人,名詞,一般,*,*,*,*,人,ヒト,ヒト
だけ,助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ
見える,動詞,自立,*,*,一段,基本形,見える,ミエル,ミエル
らしい,助動詞,*,*,*,形容詞・イ段,基本形,らしい,ラシイ,ラシイ
Good,名詞,固有名詞,組織,*,*,*,*
time,名詞,一般,*,*,*,*,*
Bad,名詞,一般,*,*,*,*,*
time,名詞,一般,*,*,*,*,*
　,記号,空白,*,*,*,*,　,　,　
今夜,名詞,副詞可能,*,*,*,*,今夜,コンヤ,コンヤ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
?　,名詞,サ変接続,*,*,*,*,*
どっち,名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
出,動詞,自立,*,*,一段,連用形,出る,デ,デ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
Good,名詞,固有名詞,組織,*,*,*,*
time,名詞,一般,*,*,*,*,*
Bad,名詞,一般,*,*,*,*,*
time,名詞,一般,*,*,*,*,*
　,記号,空白,*,*,*,*,　,　,　
あの,連体詞,*,*,*,*,*,あの,アノ,アノ
女,名詞,一般,*,*,*,*,女,オンナ,オンナ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
?　,名詞,サ変接続,*,*,*,*,*
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ
泣い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,泣く,ナイ,ナイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
?,名詞,サ変接続,*,*,*,*,*
知り,動詞,自立,*,*,五段・ラ行,連用形,知る,シリ,シリ
たい,助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
ぜ,助詞,終助詞,*,*,*,*,ぜ,ゼ,ゼ
　,記号,空白,*,*,*,*,　,　,　
オマエ,名詞,一般,*,*,*,*,*
の,助詞,連体化,*,*,*,*,の,ノ,ノ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
　,記号,空白,*,*,*,*,　,　,　
風邪,名詞,一般,*,*,*,*,風邪,カゼ,カゼ
なんか,助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ
ひい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ひく,ヒイ,ヒイ
たり,助詞,並立助詞,*,*,*,*,たり,タリ,タリ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て,動詞,非自立,*,*,一段,未然形,てる,テ,テ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
な,助詞,終助詞,*,*,*,*,な,ナ,ナ
忘れよ,動詞,自立,*,*,一段,未然ウ接続,忘れる,ワスレヨ,ワスレヨ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
　,記号,空白,*,*,*,*,　,　,　
忘れ,動詞,自立,*,*,一段,未然形,忘れる,ワスレ,ワスレ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
　,記号,空白,*,*,*,*,　,　,　
許さ,動詞,自立,*,*,五段・サ行,未然形,許す,ユルサ,ユルサ
ない,助動詞,*,*,*,特殊・ナイ,連用デ接続,ない,ナイ,ナイ
で,助詞,接続助詞,*,*,*,*,で,デ,デ
くれ,動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ
　,記号,空白,*,*,*,*,　,　,　
憎ん,動詞,自立,*,*,五段・マ行,連用タ接続,憎む,ニクン,ニクン
で,助詞,接続助詞,*,*,*,*,で,デ,デ
くれ,動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ
Good,名詞,固有名詞,組織,*,*,*,*
time,名詞,一般,*,*,*,*,*
Bad,名詞,一般,*,*,*,*,*
time,名詞,一般,*,*,*,*,*
　,記号,空白,*,*,*,*,　,　,　
今夜,名詞,副詞可能,*,*,*,*,今夜,コンヤ,コンヤ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
?　,名詞,サ変接続,*,*,*,*,*
どっち,名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
出,動詞,自立,*,*,一段,連用形,出る,デ,デ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
Good,名詞,固有名詞,組織,*,*,*,*
time,名詞,一般,*,*,*,*,*
Bad,名詞,一般,*,*,*,*,*
time,名詞,一般,*,*,*,*,*
　,記号,空白,*,*,*,*,　,　,　
あの,連体詞,*,*,*,*,*,あの,アノ,アノ
女,名詞,一般,*,*,*,*,女,オンナ,オンナ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
?　,名詞,サ変接続,*,*,*,*,*
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
笑っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,笑う,ワラッ,ワラッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
かい,助詞,終助詞,*,*,*,*,かい,カイ,カイ
?,名詞,サ変接続,*,*,*,*,*
許し,動詞,自立,*,*,五段・サ行,連用形,許す,ユルシ,ユルシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
くれ,動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ
Good,名詞,固有名詞,組織,*,*,*,*
time,名詞,一般,*,*,*,*,*
Bad,名詞,一般,*,*,*,*,*
time,名詞,一般,*,*,*,*,*
　,記号,空白,*,*,*,*,　,　,　
今夜,名詞,副詞可能,*,*,*,*,今夜,コンヤ,コンヤ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
?　,名詞,サ変接続,*,*,*,*,*
どっち,名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
出,動詞,自立,*,*,一段,連用形,出る,デ,デ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
Good,名詞,固有名詞,組織,*,*,*,*
time,名詞,一般,*,*,*,*,*
Bad,名詞,一般,*,*,*,*,*
time,名詞,一般,*,*,*,*,*
　,記号,空白,*,*,*,*,　,　,　
あの,連体詞,*,*,*,*,*,あの,アノ,アノ
女,名詞,一般,*,*,*,*,女,オンナ,オンナ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
?　,名詞,サ変接続,*,*,*,*,*
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ
泣い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,泣く,ナイ,ナイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
?,名詞,サ変接続,*,*,*,*,*
Good,名詞,固有名詞,組織,*,*,*,*
time,名詞,一般,*,*,*,*,*
Bad,名詞,一般,*,*,*,*,*
time,名詞,一般,*,*,*,*,*
　,記号,空白,*,*,*,*,　,　,　
「,記号,括弧開,*,*,*,*,「,「,「
罪,名詞,一般,*,*,*,*,罪,ツミ,ツミ
滅,名詞,一般,*,*,*,*,滅,メツ,メツ
星,名詞,接尾,一般,*,*,*,星,ボシ,ボシ
」,記号,括弧閉,*,*,*,*,」,」,」
　,記号,空白,*,*,*,*,　,　,　
今夜,名詞,副詞可能,*,*,*,*,今夜,コンヤ,コンヤ
も,助詞,係助詞,*,*,*,*,も,モ,モ
見える,動詞,自立,*,*,一段,基本形,見える,ミエル,ミエル
Good,名詞,固有名詞,組織,*,*,*,*
time,名詞,一般,*,*,*,*,*
Bad,名詞,一般,*,*,*,*,*
time,名詞,一般,*,*,*,*,*
　,記号,空白,*,*,*,*,　,　,　
揺らめい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,揺らめく,ユラメイ,ユラメイ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
　,記号,空白,*,*,*,*,　,　,　
真夜中,名詞,副詞可能,*,*,*,*,真夜中,マヨナカ,マヨナカ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
空,名詞,一般,*,*,*,*,空,ソラ,ソラ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
空,名詞,一般,*,*,*,*,空,ソラ,ソラ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
ハッピー,名詞,形容動詞語幹,*,*,*,*,ハッピー,ハッピー,ハッピー
　,記号,空白,*,*,*,*,　,　,　
降っ,動詞,自立,*,*,五段・ラ行,連用タ接続,降る,フッ,フッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
くりゃ,動詞,非自立,*,*,カ変・クル,仮定縮約１,くる,クリャ,クリャ
ラッキー,名詞,形容動詞語幹,*,*,*,*,ラッキー,ラッキー,ラッキー
　,記号,空白,*,*,*,*,　,　,　
転がる,動詞,自立,*,*,五段・ラ行,基本形,転がる,コロガル,コロガル
僕ら,名詞,代名詞,一般,*,*,*,僕ら,ボクラ,ボクラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ブルース,名詞,一般,*,*,*,*,ブルース,ブルース,ブルース
ちょっと,副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット
嫌,名詞,形容動詞語幹,*,*,*,*,嫌,イヤ,イヤ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
　,記号,空白,*,*,*,*,　,　,　
また,接続詞,*,*,*,*,*,また,マタ,マタ
好き,名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
　,記号,空白,*,*,*,*,　,　,　
回る,動詞,自立,*,*,五段・ラ行,基本形,回る,マワル,マワル
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
僕ら,名詞,代名詞,一般,*,*,*,僕ら,ボクラ,ボクラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ブルース,名詞,一般,*,*,*,*,ブルース,ブルース,ブルース
ゲーム,名詞,一般,*,*,*,*,ゲーム,ゲーム,ゲーム
オーバー,名詞,サ変接続,*,*,*,*,オーバー,オーバー,オーバー
?　,名詞,サ変接続,*,*,*,*,*
解け,動詞,自立,*,*,一段,連用形,解ける,トケ,トケ
そう,名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
　,記号,空白,*,*,*,*,　,　,　
ナゾ,名詞,一般,*,*,*,*,ナゾ,ナゾ,ナゾ
ナゾ,名詞,一般,*,*,*,*,ナゾ,ナゾ,ナゾ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
答,名詞,一般,*,*,*,*,答,コタエ,コタエ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
また,接続詞,*,*,*,*,*,また,マタ,マタ
来週,名詞,副詞可能,*,*,*,*,来週,ライシュウ,ライシュー
!,名詞,サ変接続,*,*,*,*,*
ゲーム,名詞,一般,*,*,*,*,ゲーム,ゲーム,ゲーム
オーバー,名詞,サ変接続,*,*,*,*,オーバー,オーバー,オーバー
?　,名詞,サ変接続,*,*,*,*,*
そりゃ,名詞,代名詞,縮約,*,*,*,そりゃ,ソリャ,ソリャ
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
な,助詞,終助詞,*,*,*,*,な,ナ,ナ
　,記号,空白,*,*,*,*,　,　,　
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ
楽しみ,名詞,一般,*,*,*,*,楽しみ,タノシミ,タノシミ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
まだまだ,副詞,助詞類接続,*,*,*,*,まだまだ,マダマダ,マダマダ
ひっぱれ,動詞,自立,*,*,一段,連用形,ひっぱれる,ヒッパレ,ヒッパレ
!,名詞,サ変接続,*,*,*,*,*
So,名詞,固有名詞,組織,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
逃げだす,動詞,自立,*,*,五段・サ行,基本形,逃げだす,ニゲダス,ニゲダス
より,助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
悩ん,動詞,自立,*,*,五段・マ行,連用タ接続,悩む,ナヤン,ナヤン
で,助詞,接続助詞,*,*,*,*,で,デ,デ
So,名詞,固有名詞,組織,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
鳴ら,動詞,自立,*,*,五段・ラ行,未然形,鳴る,ナラ,ナラ
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ
僕ら,名詞,代名詞,一般,*,*,*,僕ら,ボクラ,ボクラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ブルース,名詞,一般,*,*,*,*,ブルース,ブルース,ブルース
ほっとき,動詞,自立,*,*,五段・カ行イ音便,連用形,ほっとく,ホットキ,ホットキ
ぱなしじゃ,名詞,一般,*,*,*,*,*
　,記号,空白,*,*,*,*,　,　,　
花,名詞,一般,*,*,*,*,花,ハナ,ハナ
も,助詞,係助詞,*,*,*,*,も,モ,モ
枯れる,動詞,自立,*,*,一段,基本形,枯れる,カレル,カレル
　,記号,空白,*,*,*,*,　,　,　
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
も,助詞,係助詞,*,*,*,*,も,モ,モ
ブルー,名詞,一般,*,*,*,*,ブルー,ブルー,ブルー
涙,名詞,一般,*,*,*,*,涙,ナミダ,ナミダ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
知っ,動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
　,記号,空白,*,*,*,*,　,　,　
大人,名詞,一般,*,*,*,*,大人,オトナ,オトナ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
　,記号,空白,*,*,*,*,　,　,　
あの,連体詞,*,*,*,*,*,あの,アノ,アノ
日,名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
空,名詞,一般,*,*,*,*,空,ソラ,ソラ
も,助詞,係助詞,*,*,*,*,も,モ,モ
ブルー,名詞,一般,*,*,*,*,ブルー,ブルー,ブルー
ゲーム,名詞,一般,*,*,*,*,ゲーム,ゲーム,ゲーム
オーバー,名詞,サ変接続,*,*,*,*,オーバー,オーバー,オーバー
?　,名詞,サ変接続,*,*,*,*,*
泣き,動詞,自立,*,*,五段・カ行イ音便,連用形,泣く,ナキ,ナキ
そう,名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
　,記号,空白,*,*,*,*,　,　,　
夕焼け,名詞,一般,*,*,*,*,夕焼け,ユウヤケ,ユーヤケ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
続き,名詞,一般,*,*,*,*,続き,ツヅキ,ツズキ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
また,接続詞,*,*,*,*,*,また,マタ,マタ
明日,名詞,副詞可能,*,*,*,*,明日,アシタ,アシタ
!,名詞,サ変接続,*,*,*,*,*
ゲーム,名詞,一般,*,*,*,*,ゲーム,ゲーム,ゲーム
オーバー,名詞,サ変接続,*,*,*,*,オーバー,オーバー,オーバー
?　,名詞,サ変接続,*,*,*,*,*
そりゃ,名詞,代名詞,縮約,*,*,*,そりゃ,ソリャ,ソリャ
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
な,助詞,終助詞,*,*,*,*,な,ナ,ナ
　,記号,空白,*,*,*,*,　,　,　
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ
楽しみ,名詞,一般,*,*,*,*,楽しみ,タノシミ,タノシミ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
まだまだ,副詞,助詞類接続,*,*,*,*,まだまだ,マダマダ,マダマダ
これから,副詞,助詞類接続,*,*,*,*,これから,コレカラ,コレカラ
So,名詞,固有名詞,組織,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
壊れる,動詞,自立,*,*,一段,基本形,壊れる,コワレル,コワレル
ほど,助詞,副助詞,*,*,*,*,ほど,ホド,ホド
悩ん,動詞,自立,*,*,五段・マ行,連用タ接続,悩む,ナヤン,ナヤン
で,助詞,接続助詞,*,*,*,*,で,デ,デ
So,名詞,固有名詞,組織,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
掴め,動詞,自立,*,*,一段,連用形,掴める,ツカメ,ツカメ
僕ら,名詞,代名詞,一般,*,*,*,僕ら,ボクラ,ボクラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ブルース,名詞,一般,*,*,*,*,ブルース,ブルース,ブルース
メロディ,名詞,一般,*,*,*,*,メロディ,メロディ,メロディ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
言っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
「,記号,括弧開,*,*,*,*,「,「,「
大人,名詞,一般,*,*,*,*,大人,オトナ,オトナ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
と,助詞,接続助詞,*,*,*,*,と,ト,ト
　,記号,空白,*,*,*,*,　,　,　
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ
わかっ,動詞,自立,*,*,五段・ラ行,連用タ接続,わかる,ワカッ,ワカッ
ちゃう,動詞,自立,*,*,五段・ワ行促音便,基本形,ちゃう,チャウ,チャウ
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ
きっと,副詞,一般,*,*,*,*,きっと,キット,キット
飽き,動詞,自立,*,*,一段,連用形,飽きる,アキ,アキ
ちゃう,動詞,非自立,*,*,五段・ワ行促音便,基本形,ちゃう,チャウ,チャウ
の,助詞,終助詞,*,*,*,*,の,ノ,ノ
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
」,記号,括弧閉,*,*,*,*,」,」,」
ダニエル,名詞,固有名詞,人名,姓,*,*,ダニエル,ダニエル,ダニエル
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
ずっと,副詞,一般,*,*,*,*,ずっと,ズット,ズット
　,記号,空白,*,*,*,*,　,　,　
ひたすら,副詞,一般,*,*,*,*,ひたすら,ヒタスラ,ヒタスラ
に,助詞,副詞化,*,*,*,*,に,ニ,ニ
ずっと,副詞,一般,*,*,*,*,ずっと,ズット,ズット
　,記号,空白,*,*,*,*,　,　,　
何,名詞,数,*,*,*,*,何,ナン,ナン
度,名詞,接尾,助数詞,*,*,*,度,ド,ド
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ
作る,動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル
砂,名詞,一般,*,*,*,*,砂,スナ,スナ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
城,名詞,一般,*,*,*,*,城,シロ,シロ
So,名詞,固有名詞,組織,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
雨,名詞,一般,*,*,*,*,雨,アメ,アメ
ばかり,助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
Night,名詞,一般,*,*,*,*,*
&,名詞,サ変接続,*,*,*,*,*
Day,名詞,固有名詞,組織,*,*,*,*
So,名詞,固有名詞,組織,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
回る,動詞,自立,*,*,五段・ラ行,基本形,回る,マワル,マワル
僕ら,名詞,代名詞,一般,*,*,*,僕ら,ボクラ,ボクラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ブルース,名詞,一般,*,*,*,*,ブルース,ブルース,ブルース
So,名詞,固有名詞,組織,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
呆れる,動詞,自立,*,*,一段,基本形,呆れる,アキレル,アキレル
ほど,助詞,副助詞,*,*,*,*,ほど,ホド,ホド
悩ん,動詞,自立,*,*,五段・マ行,連用タ接続,悩む,ナヤン,ナヤン
で,助詞,接続助詞,*,*,*,*,で,デ,デ
So,名詞,固有名詞,組織,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
So,名詞,一般,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
取り戻す,動詞,自立,*,*,五段・サ行,基本形,取り戻す,トリモドス,トリモドス
ため,名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
COME,名詞,固有名詞,組織,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
COME,名詞,固有名詞,組織,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
COME,名詞,一般,*,*,*,*,*
ON,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
転がれ,動詞,自立,*,*,一段,連用形,転がれる,コロガレ,コロガレ
僕ら,名詞,代名詞,一般,*,*,*,僕ら,ボクラ,ボクラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ブルース,名詞,一般,*,*,*,*,ブルース,ブルース,ブルース
ジャンケンポン,名詞,一般,*,*,*,*,ジャンケンポン,ジャンケンポン,ジャンケンポン
あいこ,名詞,固有名詞,人名,名,*,*,あいこ,アイコ,アイコ
でしょ,助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ
　,記号,空白,*,*,*,*,　,　,　
泥んこ,名詞,一般,*,*,*,*,泥んこ,ドロンコ,ドロンコ
まみれ,名詞,接尾,一般,*,*,*,まみれ,マミレ,マミレ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ともだち,名詞,一般,*,*,*,*,ともだち,トモダチ,トモダチ
ファンタグレープ,名詞,一般,*,*,*,*,*
はじけ,動詞,自立,*,*,一段,連用形,はじける,ハジケ,ハジケ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
　,記号,空白,*,*,*,*,　,　,　
まぶしい,形容詞,自立,*,*,形容詞・イ段,基本形,まぶしい,マブシイ,マブシイ
　,記号,空白,*,*,*,*,　,　,　
青い,形容詞,自立,*,*,形容詞・アウオ段,基本形,青い,アオイ,アオイ
